Exchange,January,February,March,April,May,June,July,August,September,October,November,December
MICEX ,746080.1,728505.4,813411,822275.9,710378.9,681672.7,746350.6,721570.2,768226.7,800833.7,816329.9,949148.9
Nasdaq Nordic Exchanges,843697.3,824259.8,882950.9,892417.2,766156.3,772874.6,860035.8,816557.8,961740.5,981976.5,937726,1042153.7
Oslo Bors,216554.6,209315.5,222990.7,220596.1,181577.1,174581.9,199261.3,189545.4,215585.7,262551.2,245683.9,295288.3
Saudi Stock Exchange (Tadawul),331206.3,339233.4,358613.5,360706.6,319425.5,319543.2,328657.2,321039.3,336436.5,337970.1,337939.4,353409.6
SIX Swiss Exchange,1036284.8,1046656.7,1105737.3,1075045.4,950902.1,989936.3,1024255.9,1050301.4,1115854.1,1139602.6,1121597.4,1229356.5
Stock Exchange of Mauritius,6937.1,6489.6,6529.8,6735.8,5940.3,6350.2,6979.2,6872.3,7151.1,7590.3,7416.6,7752.8
Tehran Stock Exchange,61637.4,63151.5,68144.6,73557.6,70694.6,71312.6,74255.9,84434.8,85947.9,81506.4,83360.4,86641.5
Tel-Aviv Stock Exchange,193685.4,199051.2,213849.2,199902.3,176302.2,176684.5,182405.5,185270.7,206930.1,216010.2,207798.7,227614
The Egyptian Exchange,83832.2,83257.9,83785.9,86624.6,75258,72076.9,74499.9,75599.6,78773.6,78521.5,82704,84276.8
Warsaw Stock Exchange,151441.2,146865,162080.1,159551.1,145145.5,138171.9,163141.4,158590.8,183584.2,190382.5,174049.5,190705.9
Wiener Borse,109395.3,105282.2,112768.7,111564.4,94392,89930.2,102853.3,97732.4,110196.8,118424.5,108881.5,126032
Europe - Africa - Middle East,13549117.4,13258402.4,14116798.5,13901223.4,12111858.1,11977620.2,13231162.2,12765864.9,14239217.2,14922277,13971216.4,15361837.2
