Exchange,January,February,March,April,May,June,July,August,September,October,November,December
Deutsche Boerse AG,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Euronext,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Euronext Amsterdam,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Euronext Brussels,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Euronext Lisbon,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Euronext Paris,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
ICE Futures Europe,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Irish Stock Exchange,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Johannesburg Stock Exchange,7.18,6.9391,6.7595,6.5872,6.8276,6.779,6.7104,6.9988,8.0391,7.8965,8.0988,8.0734
Ljubljana Stock Exchange,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
LSE Group,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Luxembourg Stock Exchange,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Malta Stock Exchange,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
MICEX ,29.778,28.8546,28.42,27.3755,27.9896,27.9155,27.6384,28.8523,32.238,30.259,30.7143,32.123
Muscat Securities Market,0.3852,0.3851,0.385,0.3851,0.385,0.3851,0.385,0.385,0.3851,0.385,0.385,0.385
Nasdaq Nordic Exchanges,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
Oslo Bors,5.776,5.6003,5.5318,5.2391,5.3954,5.3655,5.396,5.349,5.871,5.5145,5.7686,5.968
RTS Exchange,29.778,28.8546,28.42,27.3755,27.9896,27.9155,27.6384,28.8523,32.238,30.259,30.7143,32.123
Saudi Stock Exchange (Tadawul),3.7507,3.7506,3.7502,3.7498,3.7501,3.7501,3.7502,3.7501,3.7504,3.7504,3.7504,3.7502
SIX Swiss Exchange,0.9397,0.9295,0.9149,0.8685,0.8529,0.842,0.7882,0.8065,0.9083,0.8708,0.9102,0.9351
Stock Exchange of Mauritius,29.7,29.35,28.4,27.45,28.1,28.25,28.05,27.9,29,28.85,29.2,29.35
Tehran Stock Exchange,10385,10322,10425,10500,10593,10668.5,10605,10600,10737.5,10777,10877.5,11172.5
Tel-Aviv Stock Exchange,3.7163,3.6225,3.4733,3.369,3.4318,3.4025,3.4165,3.558,3.7545,3.6125,3.761,3.8238
The Egyptian Exchange,5.8575,5.891,5.9595,5.947,5.942,5.9685,5.958,5.9533,5.9653,5.9685,6.0048,6.0308
Warsaw Stock Exchange,2.8681,2.8702,2.8396,2.651,2.7514,2.7453,2.7871,2.8821,3.2908,3.1263,3.339,3.434
Wiener Borse,0.7294,0.724,0.7047,0.674,0.6956,0.6897,0.6959,0.6945,0.7453,0.7169,0.7429,0.7703
